Primary key,Date,Intention,Standard Question,Standard answer
761,2 Minutes ago,Forgive others and myself,Lorem ipsum dolor sit amet,"p
dauht"
131,5 Days ago,Make mindfulnes,dolor sit amet consectetur,"errteeic
cta. sgio"
680,2 Minutes ago,Live this moment,Saepe ab illum perferendis.,"ameqi ,"
980,,Manifest happiness naturally,dolor sit amet consectetur,nafurtttp i
680,10 Days ago,Be kind,"adipisicing elit. Nam, dolorem hic?",pam na jaLtitpn as
107,8 Minutes ago,Love unconditionally,"accusantium excepturi minus, officia et reprehenderit",tuimoeiir
521,8 Minutes ago,See the goodness around me,veritatis earum blanditiis maiores fugiat,ritaluaf
459,1 Hour ago,Live this moment,"Labore, quae iste","jsntduan
e"
442,8 Minutes ago,Be kind,dolorum omnis odit.,"ieulf "
304,30 Minutes ago,Be kind,Saepe ab illum perferendis.,"apaae  i h
ivees"
923,,Live this moment,esse praesentium," odnm
"
217,5 Days ago,Live this moment,Lorem ipsum dolor sit amet,"uinuoi r "
437,4 Days ago,Lead by example,"Labore, quae iste",fund  uhd
