id,date,intention,standard_question,standard_answer
912,2 Minutes ago,Make mindfulnes,Lorem ipsum dolor sit amet,inventore ea illum nobis amet
913,4 Days ago,See the goodness around me,Magni inventore ea illum nobis amet,pe ab illum Saepe ab illum perferendis
914,4 Days ago,Make mindfulnes,Saepe ab illum perferendis.,Hello lorem ipsum dolor sit amet
915,13 Days ago,Live this moment,Lorem ipsum dolor sit amet,inventore ea illum nobis amet
916,5 Days ago,See the goodness around me,Lorem ipsum,Saepe ab illum perferendis
917,1 Hour ago,Lead by example,Magni inventore ea illum nobis amet,inventore ea illum nobis amet
918,30 Minutes ago,Make someone smile every day,Lorem ipsum dolor sit amet,yabk labore quae iste
919,4 Days ago,Live this moment,veniam atque officiis consequuntur pariatur?,esse praesentium
920,30 Minutes ago,Make mindfulnes,Labore quae iste,Lorem ipsum
921,4 Days ago,See the goodness around me,Magni inventore ea illum nobis amet,Hello lorem ipsum dolor sit amet
922,5 Days ago,Make someone smile every day,Labore quae iste,hai veritatis earum blanditiis maiores fugiat yahsdn
923,13 Days ago,Happiness naturally,Lorem ipsum dolor sit amet,hai veritatis earum blanditiis maiores fugiat yahsdn
924,8 Minutes ago,Be kind,veritatis earum blanditiis maiores fugiat,Lorem ipsum
925,13 Days ago,Live this moment,accusantium excepturi minus officia et reprehenderit,hai veritatis earum blanditiis maiores fugiat yahsdn
926,13 Days ago,Lead by example,accusantium excepturi minus officia et reprehenderit,pe ab illum dolor sit amet consectetur
927,13 Days ago,Love unconditionally,accusantium excepturi minus officia et reprehenderit,pe ab illum Saepe ab illum perferendis
928,10 Days ago,Happiness naturally,consectetur adipisicing elit Unde autem,dolorum omnis odit
929,8 Minutes ago,Be kind,Aperiam reiciendis neque eveniet unde,inventore ea illum nobis amet
930,8 Minutes ago,Manifest,Labore quae iste,yabk labore quae iste
931,2 Hours ago,See the goodness around me,dolorum omnis odit.,pe ab illum dolor sit amet consectetur
932,5 Days ago,Forgive others and myself,consectetur adipisicing elit Unde autem,pe ab illum dolor sit amet consectetur
933,2 Minutes ago,Be kind,Magni inventore ea illum nobis amet,yabk labore quae iste
934,2 Minutes ago,Make mindfulnes,Aperiam reiciendis neque eveniet unde,inventore ea illum nobis amet
935,30 Minutes ago,Live this moment,Aperiam reiciendis neque eveniet unde,dolorum omnis odit
936,8 Minutes ago,Live this moment,Lorem ipsum,hai veritatis earum blanditiis maiores fugiat yahsdn
937,4 Days ago,See the goodness around me,veniam atque officiis consequuntur pariatur?,pe ab illum esse praesentium
938,13 Days ago,Manifest,consectetur adipisicing elit Unde autem,illum dolorum omnis odit
939,1 Hour ago,Make someone smile every day,Magni inventore ea illum nobis amet,yabk labore quae iste
940,4 Days ago,Manifest,veniam atque officiis consequuntur pariatur?,reiciendis neque eveniet unde
941,5 Days ago,See the goodness around me,veritatis earum blanditiis maiores fugiat,yabk labore quae iste
942,4 Days ago,See the goodness around me,adipisicing elit. Nam dolorem hic?,inventore ea illum nobis amet
943,13 Days ago,Make someone smile every day,adipisicing elit. Nam dolorem hic?,jashd consectetur adipisicing elit autem
944,2 Hours ago,See the goodness around me,Aperiam reiciendis neque eveniet unde,inventore ea illum nobis amet
945,5 Days ago,Manifest,adipisicing elit. Nam dolorem hic?,inventore ea illum nobis amet
946,8 Minutes ago,Manifest,Saepe ab illum perferendis.,yabk labore quae iste
947,4 Days ago,Manifest,Labore quae iste,Saepe ab illum perferendis
948,5 Days ago,Forgive others and myself,accusantium excepturi minus officia et reprehenderit,pe ab illum Saepe ab illum perferendis
949,30 Minutes ago,See the goodness around me,Saepe ab illum perferendis.,pe ab illum reiciendis neque eveniet unde
950,4 Days ago,Happiness naturally,accusantium excepturi minus officia et reprehenderit,reiciendis neque eveniet unde
951,10 Days ago,Make mindfulnes,Labore quae iste,pe ab illum esse praesentium
952,4 Days ago,Happiness naturally,Lorem ipsum dolor sit amet,dolor sit amet consectetur
953,2 Hours ago,Be kind,accusantium excepturi minus officia et reprehenderit,pe ab illum esse praesentium
954,5 Days ago,Manifest,dolor sit amet consectetur,accusantium excepturi minus officia et reprehenderit
955,4 Days ago,Be kind,Aperiam reiciendis neque eveniet unde,reiciendis neque eveniet unde
956,4 Days ago,Live this moment,adipisicing elit. Nam dolorem hic?,esse praesentium
957,13 Days ago,Happiness naturally,dolor sit amet consectetur,esse praesentium
958,13 Days ago,Love unconditionally,consectetur adipisicing elit Unde autem,jashd consectetur adipisicing elit autem
959,2 Hours ago,Lead by example,accusantium excepturi minus officia et reprehenderit,inventore ea illum nobis amet
960,10 Days ago,Lead by example,accusantium excepturi minus officia et reprehenderit,illum dolorum omnis odit
961,5 Days ago,Love unconditionally,Saepe ab illum perferendis.,inventore ea illum nobis amet
962,4 Days ago,Manifest,esse praesentium,esse praesentium
963,10 Days ago,Forgive others and myself,accusantium excepturi minus officia et reprehenderit,yabk labore quae iste
964,2 Minutes ago,Lead by example,adipisicing elit. Nam dolorem hic?,esse praesentium
965,10 Days ago,Live this moment,Lorem ipsum dolor sit amet,adipisicing elit Nam
966,30 Minutes ago,Make someone smile every day,veritatis earum blanditiis maiores fugiat,inventore ea illum nobis amet
967,10 Days ago,Make mindfulnes,Saepe ab illum perferendis.,hai veritatis earum blanditiis maiores fugiat yahsdn
968,4 Days ago,Lead by example,veniam atque officiis consequuntur pariatur?,pe ab illum dolor sit amet consectetur
969,1 Hour ago,Love unconditionally,Magni inventore ea illum nobis amet,pe ab illum reiciendis neque eveniet unde
970,1 Hour ago,Live this moment,dolorum omnis odit.,adipisicing elit Nam
971,4 Days ago,Lead by example,Saepe ab illum perferendis.,Saepe ab illum perferendis
972,5 Days ago,Forgive others and myself,Saepe ab illum perferendis.,pe ab illum Saepe ab illum perferendis
973,2 Minutes ago,Live this moment,veritatis earum blanditiis maiores fugiat,adipisicing elit Nam
974,5 Days ago,See the goodness around me,dolorum omnis odit.,inventore ea illum nobis amet
975,13 Days ago,Lead by example,veritatis earum blanditiis maiores fugiat,Lorem ipsum
976,2 Hours ago,Be kind,accusantium excepturi minus officia et reprehenderit,hai veritatis earum blanditiis maiores fugiat yahsdn
977,2 Minutes ago,Lead by example,Saepe ab illum perferendis.,inventore ea illum nobis amet
978,8 Minutes ago,Be kind,accusantium excepturi minus officia et reprehenderit,dolor sit amet consectetur
979,5 Days ago,Forgive others and myself,esse praesentium,inventore ea illum nobis amet
980,30 Minutes ago,Manifest,accusantium excepturi minus officia et reprehenderit,pe ab illum Saepe ab illum perferendis
981,13 Days ago,Forgive others and myself,Saepe ab illum perferendis.,pe ab illum Saepe ab illum perferendis
982,8 Minutes ago,Love unconditionally,dolor sit amet consectetur,Saepe ab illum perferendis
983,4 Days ago,Manifest,adipisicing elit. Nam dolorem hic?,adipisicing elit Nam
984,13 Days ago,Be kind,dolorum omnis odit.,jashd consectetur adipisicing elit autem
985,4 Days ago,Live this moment,veritatis earum blanditiis maiores fugiat,Hello lorem ipsum dolor sit amet
986,2 Hours ago,Manifest,dolorum omnis odit.,adipisicing elit Nam
987,5 Days ago,Lead by example,Aperiam reiciendis neque eveniet unde,Lorem ipsum
988,1 Hour ago,Be kind,accusantium excepturi minus officia et reprehenderit,adipisicing elit Nam
989,1 Hour ago,See the goodness around me,adipisicing elit. Nam dolorem hic?,pe ab illum Saepe ab illum perferendis
990,10 Days ago,Make mindfulnes,adipisicing elit. Nam dolorem hic?,adipisicing elit Nam
991,13 Days ago,Happiness naturally,veniam atque officiis consequuntur pariatur?,inventore ea illum nobis amet
992,8 Minutes ago,See the goodness around me,dolorum omnis odit.,yabk labore quae iste
993,4 Days ago,Lead by example,consectetur adipisicing elit Unde autem,dolor sit amet consectetur
994,30 Minutes ago,Forgive others and myself,Lorem ipsum,reiciendis neque eveniet unde
995,1 Hour ago,Be kind,esse praesentium,adipisicing elit Nam
996,2 Minutes ago,Love unconditionally,dolorum omnis odit.,accusantium excepturi minus officia et reprehenderit
997,4 Days ago,Love unconditionally,accusantium excepturi minus officia et reprehenderit,pe ab illum reiciendis neque eveniet unde
998,4 Days ago,Happiness naturally,consectetur adipisicing elit Unde autem,Saepe ab illum perferendis
999,8 Minutes ago,Manifest,veniam atque officiis consequuntur pariatur?,jashd consectetur adipisicing elit autem
1000,4 Days ago,Make someone smile every day,veniam atque officiis consequuntur pariatur?,reiciendis neque eveniet unde
